experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
eae98249-f0c7-42f6-bbe4-bc00e88770ed,2026-01-01,5,1,_fev_26_1,0.95,20,2,9,6,2,1,4,9,4,3,2,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  435.3    425.2 -0.5   -0.5  1.0       2  917800  12019000"
a51d1e09-0308-4835-a8f9-14bb0a261914,2026-01-01,5,1,_fev_26_1,0.95,20,2,9,1,3,1,3,1,7,1,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  584.4    394.5 -0.1    0.5  0.8       8  917800  12019000"
747855e4-5100-41bf-823f-41149e7f9a40,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,10,4,1,0,1,7,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  351.5    425.2  0.0   -0.5  1.0       2  917800  12019000"
f8a8da9a-2fe4-4383-86a0-c648c304d8d2,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,2,4,1,1,1,5,1,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  413.3    394.5  0.4    0.5  0.8       8  917800  12019000"
9a4862c9-abf6-454b-a630-518019c8c61d,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,8,1,3,3,2,2,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  344.6    425.2  0.0   -0.5  1.0       2  917800  12019000"
7f898579-ce30-4344-be0b-5abd3f23f085,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,2,2,3,2,1,2,1,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  386.1    394.5  0.5    0.5  1.0       8  917800  12019000"
