rmse,rmse_lr,r2,r2_lr,acc,CO_MES,CO_GEO,CO_PRDT
345.9,425.2,0.0,-0.5,1.0,2,917800,12019000
445.5,394.5,0.4,0.5,1.0,8,917800,12019000
